Country,Total Population,Immigrant Population,Immigrant Share of Total State Population,Year
United States,"248,709,900","19,767,300",7.90%,1990
Alabama,"4,040,600","43,500",1.10%,1990
Alaska,"550,000","24,800",4.50%,1990
Arizona,"3,665,200","278,200",7.60%,1990
Arkansas,"2,350,700","24,900",1.10%,1990
California,"29,760,000","6,458,800",21.70%,1990
Colorado,"3,294,400","142,400",4.30%,1990
Connecticut,"3,287,100","279,400",8.50%,1990
Delaware,"666,200","22,300",3.30%,1990
District of Columbia,"606,900","58,900",9.70%,1990
Florida,"12,937,900","1,662,600",12.90%,1990
Georgia,"6,478,200","173,100",2.70%,1990
Hawaii,"1,108,200","162,700",14.70%,1990
Idaho,"1,006,700","28,900",2.90%,1990
Illinois,"11,430,600","952,300",8.30%,1990
Indiana,"5,544,200","94,300",1.70%,1990
Iowa,"2,776,800","43,300",1.60%,1990
Kansas,"2,477,600","62,800",2.50%,1990
Kentucky,"3,685,300","34,100",0.90%,1990
Louisiana,"4,220,000","87,400",2.10%,1990
Maine,"1,227,900","36,300",3.00%,1990
Maryland,"4,781,500","313,500",6.60%,1990
Massachusetts,"6,016,400","573,700",9.50%,1990
Michigan,"9,295,300","355,400",3.80%,1990
Minnesota,"4,375,100","113,000",2.60%,1990
Mississippi,"2,573,200","20,400",0.80%,1990
Missouri,"5,117,100","83,600",1.60%,1990
Montana,"799,100","13,800",1.70%,1990
Nebraska,"1,578,400","28,200",1.80%,1990
Nevada,"1,201,800","104,800",8.70%,1990
New Hampshire,"1,109,300","41,200",3.70%,1990
New Jersey,"7,730,200","966,600",12.50%,1990
New Mexico,"1,515,100","80,500",5.30%,1990
New York,"17,990,500","2,851,900",15.90%,1990
North Carolina,"6,628,600","115,100",1.70%,1990
North Dakota,"638,800","9,400",1.50%,1990
Ohio,"10,847,100","259,700",2.40%,1990
Oklahoma,"3,145,600","65,500",2.10%,1990
Oregon,"2,842,300","139,300",4.90%,1990
Pennsylvania,"11,881,600","369,300",3.10%,1990
Rhode Island,"1,003,500","95,100",9.50%,1990
South Carolina,"3,486,700","50,000",1.40%,1990
South Dakota,"696,000","7,700",1.10%,1990
Tennessee,"4,877,200","59,100",1.20%,1990
Texas,"16,986,500","1,524,400",9.00%,1990
Utah,"1,722,900","58,600",3.40%,1990
Vermont,"562,800","17,500",3.10%,1990
Virginia,"6,187,400","311,800",5.00%,1990
Washington,"4,866,700","322,100",6.60%,1990
West Virginia,"1,793,500","15,700",0.90%,1990
Wisconsin,"4,891,800","121,500",2.50%,1990
Wyoming,"453,600","7,600",1.70%,1990
United States,"281,421,900","31,107,900",11.10%,2000
Alabama,"4,447,100","87,800",2.00%,2000
Alaska,"626,900","37,200",5.90%,2000
Arizona,"5,130,600","656,200",12.80%,2000
Arkansas,"2,673,400","73,700",2.80%,2000
California,"33,871,600","8,864,300",26.20%,2000
Colorado,"4,301,300","369,900",8.60%,2000
Connecticut,"3,405,600","370,000",10.90%,2000
Delaware,"783,600","44,900",5.70%,2000
District of Columbia,"572,100","73,600",12.90%,2000
Florida,"15,982,400","2,670,800",16.70%,2000
Georgia,"8,186,500","577,300",7.10%,2000
Hawaii,"1,211,500","212,200",17.50%,2000
Idaho,"1,294,000","64,100",5.00%,2000
Illinois,"12,419,300","1,529,100",12.30%,2000
Indiana,"6,080,500","186,500",3.10%,2000
Iowa,"2,926,300","91,100",3.10%,2000
Kansas,"2,688,400","134,700",5.00%,2000
Kentucky,"4,041,800","80,300",2.00%,2000
Louisiana,"4,469,000","115,900",2.60%,2000
Maine,"1,274,900","36,700",2.90%,2000
Maryland,"5,296,500","518,300",9.80%,2000
